idx,modelID,modelName,disName,folderName,model_texture_name,resolution,qa,LQpQt
0,0,170516_mia337_032122_600_200Kfaces_8192px_OBJ,170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL1_qp10_qt7_decompJPEG_2048x2048_Q75,12th-c-ce-water-moon-guanyin,170516_mia337_032122_600_200Kfaces_8192px_OBJ,2048x2048,75,L1_qp10_qt7
1,0,170516_mia337_032122_600_200Kfaces_8192px_OBJ,170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL1_qp10_qt8_decompJPEG_512x512_Q10,12th-c-ce-water-moon-guanyin,170516_mia337_032122_600_200Kfaces_8192px_OBJ,512x512,10,L1_qp10_qt8
2,0,170516_mia337_032122_600_200Kfaces_8192px_OBJ,170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL1_qp11_qt6_decompJPEG_1440x1440_Q25,12th-c-ce-water-moon-guanyin,170516_mia337_032122_600_200Kfaces_8192px_OBJ,1440x1440,25,L1_qp11_qt6
3,0,170516_mia337_032122_600_200Kfaces_8192px_OBJ,170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL1_qp9_qt6_decompJPEG_512x512_Q75,12th-c-ce-water-moon-guanyin,170516_mia337_032122_600_200Kfaces_8192px_OBJ,512x512,75,L1_qp9_qt6
4,0,170516_mia337_032122_600_200Kfaces_8192px_OBJ,170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL1_qp9_qt7_decompJPEG_1440x1440_Q10,12th-c-ce-water-moon-guanyin,170516_mia337_032122_600_200Kfaces_8192px_OBJ,1440x1440,10,L1_qp9_qt7
5,0,170516_mia337_032122_600_200Kfaces_8192px_OBJ,170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL10_qp10_qt6_decompJPEG_512x512_Q10,12th-c-ce-water-moon-guanyin,170516_mia337_032122_600_200Kfaces_8192px_OBJ,512x512,10,L10_qp10_qt6
6,0,170516_mia337_032122_600_200Kfaces_8192px_OBJ,170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL10_qp10_qt9_decompJPEG_2048x2048_Q90,12th-c-ce-water-moon-guanyin,170516_mia337_032122_600_200Kfaces_8192px_OBJ,2048x2048,90,L10_qp10_qt9
7,0,170516_mia337_032122_600_200Kfaces_8192px_OBJ,170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL10_qp11_qt10_decompJPEG_1024x1024_Q25,12th-c-ce-water-moon-guanyin,170516_mia337_032122_600_200Kfaces_8192px_OBJ,1024x1024,25,L10_qp11_qt10
8,0,170516_mia337_032122_600_200Kfaces_8192px_OBJ,170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL10_qp11_qt6_decompJPEG_512x512_Q10,12th-c-ce-water-moon-guanyin,170516_mia337_032122_600_200Kfaces_8192px_OBJ,512x512,10,L10_qp11_qt6
9,0,170516_mia337_032122_600_200Kfaces_8192px_OBJ,170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL10_qp11_qt9_decompJPEG_1440x1440_Q75,12th-c-ce-water-moon-guanyin,170516_mia337_032122_600_200Kfaces_8192px_OBJ,1440x1440,75,L10_qp11_qt9
10,0,170516_mia337_032122_600_200Kfaces_8192px_OBJ,170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL10_qp8_qt8_decompJPEG_1440x1440_Q50,12th-c-ce-water-moon-guanyin,170516_mia337_032122_600_200Kfaces_8192px_OBJ,1440x1440,50,L10_qp8_qt8
11,0,170516_mia337_032122_600_200Kfaces_8192px_OBJ,170516_mia337_032122_600_200Kfaces_8192px_OBJ_simpL2_qp10_qt10_decompJPEG_512x512_Q50,12th-c-ce-water-moon-guanyin,170516_mia337_032122_600_200Kfaces_8192px_OBJ,512x512,50,L2_qp10_qt10
